,list_id,song_id,song_name,artist,popularity,release_date,list_name,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
46,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,6M3UWOllji25b9BGieMeJA,Janajaati,Ethnos,13,2022-05-06,Sanctuary Of Sounds,0.7,0.0813,104.994,0.0561,0.0262,0.596,0.777,404628,-10.183,0.0912,1,2
47,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,3VU3TdAJe5V0ob1Ax9BfFq,Paramatma,Fake Mood,31,2017-04-21,Sanctuary Of Sounds,0.62,0.111,117.009,0.0436,0.176,0.864,0.707,367582,-12.438,0.294,1,2
48,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,7CovVmT2QKlLbfdJWUGiyL,Vajra,U108,9,2022-04-29,Sanctuary Of Sounds,0.835,0.266,90.007,0.0348,0.00253,0.713,0.617,484000,-5.208,0.394,1,2
49,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,4tkMwyKNzyCuPCPRnHAU1U,Krishna,eelison,1,2021-07-01,Sanctuary Of Sounds,0.52,0.0899,180.007,0.0394,0.126,0.528,0.572,418687,-10.493,0.0987,1,0
50,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,6TugAfvKs3NSp90G1ByaqT,Gayatri Mantra,U108,8,2020-04-01,Sanctuary Of Sounds,0.472,0.0726,122.004,0.0449,0.0259,0.777,0.907,210492,-8.209,0.289,1,2
51,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,56dF9W1Gh1KyEGW2aRg7kE,Mahamrtyumjaya Mantra,Shanti People,16,2015-04-27,Sanctuary Of Sounds,0.625,0.0969,180.012,0.0379,0.00602,1.56e-06,0.284,321867,-7.209,0.0979,1,5
52,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,3nmsechKrkAtu6r0dLqsei,Asato (Invader Space & Shadow Remix),Shanti People,31,2019-09-20,Sanctuary Of Sounds,0.839,0.234,140.028,0.0722,0.0017,0.679,0.523,432036,-5.741,0.0578,0,10
53,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,2A3UbmMJr4zRsNaJZ8R8I3,Radhe Govinda (Alexander Belousov Remix),Alexander Belousov,5,2022-11-01,Sanctuary Of Sounds,0.806,0.108,124.003,0.0494,0.00347,0.871,0.739,382000,-6.568,0.687,0,10
54,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,5MNYTpeet8Pd5gAlBjFurn,Ketu,U108,7,2021-06-11,Sanctuary Of Sounds,0.462,0.115,93.018,0.0965,0.497,0.793,0.747,434571,-10.218,0.285,1,6
55,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,5RZCVdCDhKuyB5Nf1JZzFD,Sharanam Ganesha,U108,8,2022-09-09,Sanctuary Of Sounds,0.671,0.26,100.004,0.0436,0.0628,0.743,0.713,297600,-9.26,0.0676,1,2
56,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,6K5IhUmMdMuflFFzMzvKyW,Radhe Shyam - ThroDef Dub Remix,Sati Ethnica,6,2021-11-05,Sanctuary Of Sounds,0.853,0.244,120.007,0.0371,0.000115,0.786,0.686,362000,-8.027,0.344,1,2
57,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,1gXCskiKYifRgQifpnOmyE,Saraswati,Rey&Kjavik,0,2017-07-07,Sanctuary Of Sounds,0.878,0.0802,102.0,0.0482,0.0106,0.353,0.861,606912,-8.931,0.164,1,9
58,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,1gXCskiKYifRgQifpnOmyE,Saraswati,Rey&Kjavik,0,2017-07-07,Sanctuary Of Sounds,0.878,0.0802,102.0,0.0482,0.0106,0.353,0.861,606912,-8.931,0.164,1,9
59,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,1Yy0IiwJvTQ4I9sw1PWv2S,Narayana,Anti Soshal,9,2019-09-06,Sanctuary Of Sounds,0.683,0.0797,123.001,0.0594,0.0296,0.755,0.684,397414,-8.813,0.186,1,9
60,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,0XgwErif8PMCxarNcVbyyY,Mahamri,Anti Soshal,1,2019-09-06,Sanctuary Of Sounds,0.804,0.693,123.013,0.0472,0.00145,0.548,0.66,397258,-7.785,0.331,1,1
61,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,7kJyDA3plGPZ7yIirQLHYw,Vasudeva,Samskara,3,2019-11-01,Sanctuary Of Sounds,0.709,0.647,89.99,0.0632,0.000986,0.579,0.245,325333,-9.494,0.323,0,9
62,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,3tR0RCBvONKurdAFt2Vne3,Sarvesham,Samskara,3,2019-11-01,Sanctuary Of Sounds,0.559,0.145,92.511,0.0332,0.0898,0.871,0.419,283156,-9.895,0.0396,1,0
63,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,2dVDc33yVdLpqBKriBXCGg,Mahakali,Samskara,1,2019-11-01,Sanctuary Of Sounds,0.846,0.253,120.074,0.0367,0.026,0.0163,0.526,241907,-7.057,0.224,1,0
64,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,0w2Ky35tKlhrDwNVSfElTn,Water - Liquid Dancing (Gaya Continued),Master Minded,12,2015-04-16,Sanctuary Of Sounds,0.692,0.361,95.007,0.062,0.00296,0.373,0.65,495036,-8.815,0.183,1,9
65,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,3uY97HjqnsM9b7r1wOzw7E,Fire - Flaming hearts,Master Minded,11,2015-04-16,Sanctuary Of Sounds,0.685,0.0781,133.011,0.0696,0.00555,0.814,0.718,362579,-8.647,0.153,1,1
