,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
169,Pritam,"Hum Nashe Mein Toh Nahin (From ""Bhool Bhulaiyaa 2"")",5485,2022-05-12 23:07:00,0.572,0.736,11.0,-7.768,1.0,0.0658,0.643,0.0,0.128,0.778,85.035,6XZWokIxs4leaSmXmU8b26,4.0
170,Neha Kakkar,La La La,5849,2022-05-12 23:07:00,0.772,0.65,6.0,-5.202,0.0,0.0306,0.107,1.13e-06,0.0905,0.262,125.082,36pLU2ywVeBKEF0rrKtmCB,4.0
171,Stavroz,Nobody Around,14440,2022-05-12 23:08:00,0.838,0.388,4.0,-15.31,0.0,0.13,0.328,0.644,0.115,0.324,119.003,5x9dskHh6fk2NCYAbLdJVK,4.0
172,AstroPilot,Listening to Nature,6642,2022-05-12 23:08:00,0.157,0.373,11.0,-17.505,0.0,0.0373,0.961,0.862,0.181,0.0396,107.883,7IFgYhXIhRsndj06rySrMe,4.0
173,Pesukone,Music Is Our Addiction,5636,2022-05-12 23:08:00,0.492,0.748,7.0,-4.846,0.0,0.223,0.1,0.0,0.294,0.551,110.47,02zwzBR1sllVTMI7wrgVFI,3.0
174,The Pineapple Thief,Start Your Descent - Rewired,36226,2022-05-12 23:08:00,0.608,0.307,0.0,-14.533,1.0,0.0334,0.213,0.0146,0.136,0.142,125.043,1CO7YQ4F4TotzQW869AyVI,4.0
175,Talwiinder,Raaz,4658,2022-05-12 23:09:00,0.691,0.614,9.0,-6.012,0.0,0.214,0.117,0.0,0.348,0.0828,114.219,5xfjWy4b3T4MkLLM1Pw4IT,5.0
176,Mohammad-Reza Shajarian,Guest,52676,2022-05-12 23:09:00,0.665,0.404,7.0,-11.388,1.0,0.037,0.021,0.816,0.121,0.377,96.009,3sxNhyICD90z7jvu3zhPEo,4.0
177,Mitika Kanwar,Sanu nehr wale pul (Lofi),6251,2022-05-12 23:09:00,0.644,0.559,4.0,-7.558,1.0,0.0512,0.541,0.0,0.118,0.611,69.507,4tDPFKnYaXZCiGd2pI8DpL,4.0
178,For the Good of All,Bodhisattva - Soundscape Mix,6620,2022-05-12 23:10:00,0.189,0.3,6.0,-16.916,0.0,0.0375,0.927,0.617,0.429,0.0367,116.794,1UrW57UBhBlcUMnjHY420v,3.0
179,GMO,In A Liquid World,14709,2022-05-12 23:10:00,0.453,0.54,1.0,-10.582,1.0,0.032,0.00319,0.845,0.114,0.0368,159.98,1TlRAGiDs431EJycn7SZE5,4.0
181,A.R. Rahman,Rehnuma,4597,2022-05-12 23:10:00,0.582,0.62,9.0,-9.689,0.0,0.0364,0.613,0.00141,0.106,0.549,89.992,3zb5Omz3mP7XRl7fDfiquc,4.0
182,AUX25,Paging Dr. Benway - Kaya Project Remix,24976,2022-05-12 23:10:00,0.712,0.69,1.0,-9.973,0.0,0.033,0.0309,0.653,0.0954,0.482,111.994,0Pqjd6cvZ71LdgyEglX0YN,4.0
183,Empty Elevator,XTRA Elevator Bells,7379,2022-05-12 23:10:00,0.181,0.19,7.0,-24.518,1.0,0.0282,0.915,0.903,0.194,0.0572,90.851,0CPjMOJ9LpTNSrZxChw8SL,4.0
184,Pritam,"Kahani (From ""Laal Singh Chaddha"")",18435,2022-05-12 23:11:00,0.406,0.336,1.0,-12.011,1.0,0.0345,0.815,5.26e-06,0.0888,0.327,149.354,7Lcp4QlpR3RDngYejm4fmS,3.0
185,Cell,Linear White,131415,2022-05-12 23:18:00,0.47,0.0849,10.0,-27.496,0.0,0.0445,0.968,0.881,0.0785,0.0387,79.988,0b0ch7VKF2RTZmRzh3QduO,4.0
187,Tamu,Narasimha Mantra - Dub Mix,341473,2022-05-12 23:24:00,0.785,0.718,11.0,-7.105,1.0,0.0459,0.013,0.727,0.159,0.398,124.982,1KfO2lLRdn6DtYPxFp68R1,4.0
188,Lipphead,The Squirrel From Ipanema,132906,2022-05-12 23:53:00,0.835,0.883,4.0,-6.217,0.0,0.0583,0.392,0.874,0.15,0.619,96.013,4UrF6TglI4P601z1XfCr5e,4.0
189,Martin Miller,Easy Lover,115522,2022-05-12 23:55:00,0.749,0.699,1.0,-13.108,1.0,0.0371,0.0674,0.00192,0.0763,0.935,128.904,7INi4pMPG4IE0Smx5y4KVf,4.0
248,Joell,Jeevan Ko Kya Naam Dun,190012,2022-05-13 06:02:00,0.522,0.234,1.0,-12.907,1.0,0.0365,0.854,0.0128,0.102,0.366,119.854,27d2EeB9ScXlOySDoqWmAv,3.0
249,Abhimanyu-Pragya,Kyun Gaya Tu,144620,2022-05-13 06:04:00,0.553,0.38,10.0,-10.07,1.0,0.0349,0.751,0.000134,0.113,0.227,144.617,2cctqncI7ZkGEQQM99dSei,3.0
250,Kumar Gaurav,Uski Baatein,218494,2022-05-13 06:08:00,0.485,0.435,1.0,-9.69,1.0,0.0355,0.547,4.73e-06,0.0595,0.506,151.258,22in0ZxXEYzgFegdVH8PT2,3.0
251,Viepsa Arora,Gaayab,140114,2022-05-13 06:10:00,0.533,0.329,6.0,-14.083,0.0,0.0411,0.901,0.0198,0.107,0.206,77.027,6Iq70DkXXg4gqJkgkLn3pn,4.0
258,Shriram Iyer,Khud Ka Pata,159800,2022-05-13 06:21:00,0.482,0.518,1.0,-8.144,0.0,0.0659,0.842,0.0791,0.248,0.723,121.881,5JepE6J1INvwWB9ceIOzgp,4.0
259,AB & Aryaman,Kyun Ki Tu,251081,2022-05-13 06:25:00,0.6,0.395,0.0,-9.88,1.0,0.0284,0.258,0.0,0.113,0.15,137.819,57eHJLtujJyxZWG43efoo7,4.0
260,Hamza Malik,Kasam Ki Kasam,57428,2022-05-13 06:26:00,0.649,0.385,7.0,-13.395,1.0,0.0716,0.621,3.83e-06,0.059,0.424,159.972,5lnzvisYIu98qS3aO8e7bS,4.0
261,Arijit Saha,Chale Bhi Aao,305753,2022-05-13 06:31:00,0.543,0.694,0.0,-7.408,1.0,0.0468,0.48,3.67e-06,0.442,0.469,121.969,7e1kIWKg0k1yA9uOGPIrid,4.0
263,Abhash Jha,Naraaziyan,264198,2022-05-13 06:44:00,0.569,0.445,7.0,-10.063,1.0,0.0266,0.617,0.000442,0.095,0.257,84.994,3myyxnbfvmWfQgaqjhT3R8,4.0
264,Mohit Rohilla,Zindagi - Piano,104785,2022-05-13 06:47:00,0.542,0.0617,6.0,-20.234,1.0,0.0356,0.956,0.0055,0.108,0.277,140.122,7IzHs6EPsjXby09eA6fxQX,4.0
265,Hamza Malik,Tera Yaar Hon Mein,60000,2022-05-13 06:51:00,0.396,0.141,10.0,-12.118,1.0,0.0342,0.94,0.0,0.115,0.186,144.115,3OL2fsoJTIrRHr6mNcQE4U,4.0
266,Mayank Verma,Kyuki Tum - Bonus Track,241902,2022-05-13 06:56:00,0.51,0.696,4.0,-9.313,0.0,0.0399,0.463,0.133,0.137,0.542,180.138,6ouS3g2zvJxy1dEXfJ6tT1,4.0
267,Shriram Iyer,Tum Ko Dekha To Yeh Khayal Aaya,1355,2022-05-13 06:58:00,0.354,0.272,2.0,-13.642,1.0,0.0295,0.907,0.612,0.0848,0.263,90.566,6OBnmsS9w6mdYmEgxwc2BG,4.0
268,Rohit Chauhan,Bangadiyan,19281,2022-05-13 06:58:00,0.587,0.49,9.0,-10.589,1.0,0.0417,0.642,0.0,0.383,0.619,93.98,0L7lcuQ2wqZu9dRaFa1YQN,4.0
270,Johan Ahmed,Allah Ke Bande,1361,2022-05-13 06:58:00,0.454,0.427,9.0,-6.622,0.0,0.0351,0.869,0.0,0.108,0.521,95.02,5BMgx6DpXSr1Cf9tSJCzrd,4.0
271,Mayank Verma,Ek Baar,3139,2022-05-13 06:58:00,0.63,0.139,10.0,-16.418,1.0,0.0376,0.894,0.0,0.0935,0.579,144.939,40MfpPFCXzb792xpUXO4xe,3.0
272,Hardik Bhardwaj,Madhaniya,2852,2022-05-13 06:59:00,0.625,0.163,4.0,-15.442,1.0,0.0329,0.857,0.000449,0.127,0.273,139.959,1PJjB3p65wjdCbMTObhPxv,4.0
273,Ronak Bhatt,Udaarian,3649,2022-05-13 06:59:00,0.659,0.712,2.0,-5.585,0.0,0.0352,0.584,0.0,0.201,0.883,143.792,3K3mo4LoxPKk18oqIC3hQC,4.0
274,Arry Gill,Chand Chhupa Badal Mein,6422,2022-05-13 06:59:00,0.402,0.61,11.0,-9.509,0.0,0.141,0.368,0.0,0.109,0.463,86.248,6LVYBlYJ4pezcfk7V8Tttk,4.0
275,Rromeo,Tera Fitoor,6164,2022-05-13 06:59:00,0.576,0.688,9.0,-5.136,1.0,0.0319,0.346,0.0439,0.262,0.726,135.984,1YMLgvsQdE27r30q0fsLeV,4.0
276,Mayank Verma,Tu Hai To Na,3487,2022-05-13 06:59:00,0.535,0.754,10.0,-4.77,0.0,0.0562,0.458,1.6e-06,0.302,0.435,143.862,4brSaQIT3bnnE41D042fgL,4.0
277,Luvdeep Saini Aka LDS,Mar Jaane Yaan,13695,2022-05-13 06:59:00,0.456,0.725,5.0,-8.487,1.0,0.0483,0.639,0.0,0.0868,0.17,140.049,67wVHOdsFshfMIKSDJX5zA,4.0
278,Digvijay Singh Pariyar,Suhana Safar Aur Yeh Mausam,6493,2022-05-13 06:59:00,0.492,0.308,7.0,-13.842,0.0,0.151,0.64,0.012,0.139,0.616,150.627,3V7K8wMXBKaf936CUDr3Bt,3.0
279,The Bassicks,Kal,142500,2022-05-13 07:02:00,0.235,0.0639,11.0,-24.404,0.0,0.049,0.962,0.603,0.466,0.0781,120.736,04eShjKTWijeJJqGnhxpYK,3.0
280,Mayank Verma,Aaja Na,338821,2022-05-13 07:07:00,0.638,0.593,10.0,-13.041,1.0,0.115,0.683,0.000409,0.42,0.463,80.047,07PVIqIGZT9hLSByqt2CC4,4.0
281,Bimal Bhanot,Ajj Din Chadheya (Unplugged),93244,2022-05-13 07:09:00,0.486,0.317,3.0,-8.917,1.0,0.0336,0.899,0.0,0.149,0.538,78.721,3YBqgFoOUZCsooAX7DBv3a,4.0
282,Mayank Maurya,Na Tum Jano Na Hum,170981,2022-05-13 07:12:00,0.515,0.519,9.0,-11.197,1.0,0.0397,0.323,0.000657,0.0566,0.582,89.499,0zX7Zcf1ijrwrhT65pcdb8,4.0
283,Dr. Aruna Aggarwal,Har Kadam,147531,2022-05-13 07:14:00,0.491,0.964,4.0,-0.783,0.0,0.0847,0.0102,0.0714,0.394,0.51,109.913,6v2Z0bi9mCBGTgOwBs9E4V,4.0
284,Suraj Jasud,Kese Kahoon,30681,2022-05-13 07:19:00,0.528,0.148,1.0,-18.789,0.0,0.0301,0.686,8.93e-05,0.0944,0.178,146.985,0VYEyBw4F64Nz7PiHewNHd,3.0
285,Mayank Verma,SRHNT,199772,2022-05-13 07:22:00,0.576,0.206,11.0,-15.186,0.0,0.0318,0.308,1.44e-06,0.23,0.369,88.019,0lZad1BPsjO7k7klp4HSNa,4.0
286,Indian Lofi,Akhiyan Ch Tu Vasda,171428,2022-05-13 07:28:00,0.696,0.702,11.0,-6.037,1.0,0.0434,0.847,0.192,0.197,0.451,147.989,1mTxFIhG4fUHtbMuagEM6z,4.0
287,Ashok Singh,Chhuta Hain Dil,195857,2022-05-13 07:31:00,0.292,0.421,8.0,-10.567,1.0,0.03,0.678,0.0304,0.35,0.174,139.544,7aqjhmzM2fnbfjqro74NyI,3.0
288,Digvijay Singh Pariyar,Aaj Ka Dina,156443,2022-05-13 07:37:00,0.291,0.0968,6.0,-17.044,1.0,0.0378,0.943,6.68e-06,0.368,0.492,82.609,2s1Ln0xl9irIn2YJ4l9xE6,4.0
289,Mayank Verma,Nainaaa,144214,2022-05-13 07:39:00,0.874,0.292,4.0,-10.47,1.0,0.11,0.601,3.64e-05,0.0809,0.563,139.931,2Z9gZbqhy2fyY0HqRjFOGW,4.0
290,Mohit Rohilla,Zindagi,154308,2022-05-13 07:42:00,0.905,0.608,0.0,-9.593,0.0,0.0795,0.136,0.0784,0.0947,0.782,106.015,2z4epffvWpEsAQvaCnkKBa,4.0
291,Putti Raps,Naan Okay,122491,2022-05-13 07:44:00,0.504,0.333,2.0,-14.068,1.0,0.538,0.624,0.0,0.107,0.567,79.505,4SOhkBzUnxZVb3vbMnb4nH,4.0
292,Shriram Iyer,Takda Rainda,175360,2022-05-13 07:47:00,0.476,0.344,3.0,-11.276,1.0,0.037,0.875,0.0,0.18,0.413,94.68,6OMXsDDAv0i3Qs7jqatWVG,3.0
294,Kaajal Vashisht,Oh Mere Saathi,199499,2022-05-13 07:54:00,0.428,0.395,2.0,-10.418,1.0,0.0654,0.89,0.000312,0.114,0.432,159.863,19ZzofRGGkzY5v1m49ydCx,4.0
295,Mayank Verma,Tu Hi Meraa,156136,2022-05-13 07:57:00,0.623,0.587,8.0,-10.854,1.0,0.283,0.635,1.56e-06,0.231,0.749,175.954,3NNwGgaRM8xwHwbknqOYXK,4.0
296,Kapil Ojha,Tarasti Hai Nigahen,158855,2022-05-13 07:59:00,0.644,0.668,1.0,-6.907,1.0,0.0787,0.657,0.00211,0.625,0.741,119.928,6XVAYqHgADmMkslL9MTldu,4.0
297,Anshuman Paliwal,Suicide,212418,2022-05-13 08:03:00,0.788,0.871,6.0,-5.782,0.0,0.043,0.172,0.00164,0.115,0.401,128.195,6hRvewF5MRAsqqxnNs3z2b,4.0
298,Rahul Iyer,Tu Mile Dil Khile,177980,2022-05-13 08:07:00,0.383,0.247,10.0,-20.431,0.0,0.0441,0.824,0.000504,0.396,0.49,96.96,5kMIRfYYKDk4Q09nuenBVF,4.0
300,Prashant Katheriya,Likha Hai Kya Naseebo Mein,110166,2022-05-13 08:14:00,0.508,0.265,4.0,-7.335,0.0,0.0262,0.936,0.000235,0.16,0.562,89.826,0YhyrHXERRQxvv3C70m3s3,4.0
301,Mayank Verma,Lambiyaan Lambiyaan,126153,2022-05-13 08:16:00,0.436,0.721,11.0,-5.956,0.0,0.0852,0.273,0.0,0.132,0.73,171.851,4SEUwsmis8e02cZ6efrTuY,4.0
302,Digvijay Singh Pariyar,Pyar Hua Iqrar Hua,257012,2022-05-13 08:20:00,0.594,0.729,6.0,-7.692,0.0,0.0338,0.148,0.00614,0.443,0.601,100.059,4PzOeGOESAHd2BY9f2BtUe,4.0
303,Electro Stunners,Bemaniyaa,178017,2022-05-13 08:23:00,0.526,0.399,2.0,-17.165,1.0,0.0916,0.031,0.388,0.197,0.0783,144.129,73t2DetIDtKBACjzOj2E7X,5.0
