,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Afterdark - Mixed,0.622,0.913,8.0,-9.212,1.0,0.041,0.00221,0.856,0.125,0.281,121.025,audio_features,0gZJU9LZTRhdKrRmp4KzYL,spotify:track:0gZJU9LZTRhdKrRmp4KzYL,https://api.spotify.com/v1/tracks/0gZJU9LZTRhdKrRmp4KzYL,https://api.spotify.com/v1/audio-analysis/0gZJU9LZTRhdKrRmp4KzYL,285620.0,4.0
The Scent of the Old Ocean,0.375,0.46,4.0,-9.877,0.0,0.0285,0.000136,0.823,0.152,0.0726,165.019,audio_features,4h2kfyMJpi62m99PAtkxgN,spotify:track:4h2kfyMJpi62m99PAtkxgN,https://api.spotify.com/v1/tracks/4h2kfyMJpi62m99PAtkxgN,https://api.spotify.com/v1/audio-analysis/4h2kfyMJpi62m99PAtkxgN,265200.0,3.0
Sharp,0.674,0.944,11.0,-4.567,0.0,0.0542,0.00323,0.761,0.0934,0.418,140.06,audio_features,4ysg6xHhQ081sjYkMvO3mG,spotify:track:4ysg6xHhQ081sjYkMvO3mG,https://api.spotify.com/v1/tracks/4ysg6xHhQ081sjYkMvO3mG,https://api.spotify.com/v1/audio-analysis/4ysg6xHhQ081sjYkMvO3mG,318857.0,4.0
Glow,,,,,,,,,,,,,,,,,,
Dybet,0.611,0.203,5.0,-17.947,0.0,0.0331,0.0666,0.892,0.0579,0.0334,94.996,audio_features,4pKsjN4Ya5eDWWHm3TOi4i,spotify:track:4pKsjN4Ya5eDWWHm3TOi4i,https://api.spotify.com/v1/tracks/4pKsjN4Ya5eDWWHm3TOi4i,https://api.spotify.com/v1/audio-analysis/4pKsjN4Ya5eDWWHm3TOi4i,529047.0,4.0
My Primitive Heart,0.761,0.496,10.0,-11.004,1.0,0.076,0.689,0.0151,0.061,0.559,98.495,audio_features,06LGd8j7KVJuiGDWdlOfuV,spotify:track:06LGd8j7KVJuiGDWdlOfuV,https://api.spotify.com/v1/tracks/06LGd8j7KVJuiGDWdlOfuV,https://api.spotify.com/v1/audio-analysis/06LGd8j7KVJuiGDWdlOfuV,344000.0,4.0
Casiopea - Original Mix,0.758,0.612,6.0,-10.129,0.0,0.0453,0.0455,0.354,0.112,0.395,120.997,audio_features,1WOn7UZLiSUGSLsfqQv566,spotify:track:1WOn7UZLiSUGSLsfqQv566,https://api.spotify.com/v1/tracks/1WOn7UZLiSUGSLsfqQv566,https://api.spotify.com/v1/audio-analysis/1WOn7UZLiSUGSLsfqQv566,729917.0,4.0
Radio Bombay,0.553,0.397,9.0,-14.669,0.0,0.0584,0.0177,0.757,0.072,0.0709,89.937,audio_features,24Bag0cKXEQwSNSBXTmSQ5,spotify:track:24Bag0cKXEQwSNSBXTmSQ5,https://api.spotify.com/v1/tracks/24Bag0cKXEQwSNSBXTmSQ5,https://api.spotify.com/v1/audio-analysis/24Bag0cKXEQwSNSBXTmSQ5,368640.0,4.0
Luv Deluxe,,,,,,,,,,,,,,,,,,
Ad Astra,,,,,,,,,,,,,,,,,,
Immortal,0.436,0.977,1.0,-1.411,1.0,0.0428,0.00027,0.59,0.141,0.252,173.959,audio_features,4CtHOVGGI0CXmow1DnhaVL,spotify:track:4CtHOVGGI0CXmow1DnhaVL,https://api.spotify.com/v1/tracks/4CtHOVGGI0CXmow1DnhaVL,https://api.spotify.com/v1/audio-analysis/4CtHOVGGI0CXmow1DnhaVL,253793.0,4.0
Relaxing Music for Sleep,0.194,0.00461,0.0,-41.295,1.0,0.0425,0.989,0.823,0.141,0.0397,74.842,audio_features,1cqB6VT99CSPqtI2ECSXj6,spotify:track:1cqB6VT99CSPqtI2ECSXj6,https://api.spotify.com/v1/tracks/1cqB6VT99CSPqtI2ECSXj6,https://api.spotify.com/v1/audio-analysis/1cqB6VT99CSPqtI2ECSXj6,120391.0,5.0
Sacré-Coeur Sunrise,0.206,0.39,2.0,-18.347,1.0,0.0399,0.796,0.949,0.0704,0.2,82.722,audio_features,666ku6sjbepyhs1lOTP4Vn,spotify:track:666ku6sjbepyhs1lOTP4Vn,https://api.spotify.com/v1/tracks/666ku6sjbepyhs1lOTP4Vn,https://api.spotify.com/v1/audio-analysis/666ku6sjbepyhs1lOTP4Vn,61254.0,3.0
MahaMrityunjaya Mantra - Hi Profile Remix,,,,,,,,,,,,,,,,,,
Ocean of Being - Dub Mix,0.626,0.359,1.0,-13.406,0.0,0.0708,0.781,0.684,0.0751,0.234,175.955,audio_features,6MBd9Y3KgDazS2He2HhNa9,spotify:track:6MBd9Y3KgDazS2He2HhNa9,https://api.spotify.com/v1/tracks/6MBd9Y3KgDazS2He2HhNa9,https://api.spotify.com/v1/audio-analysis/6MBd9Y3KgDazS2He2HhNa9,325000.0,4.0
